mu,sigma,median,min,max,variance
0.01152348362130158,0.01877513872746725,0.014544857656805531,0.002644250138245866,0.05024165042366886,0.0001327906747704058
0.03097580911504044,0.052812344975856865,0.04357088043477643,0.010561500420331733,0.12147169656137405,0.0009595007503314223
0.04064860735066103,0.07820497863111353,0.07340733222405184,0.024018728811709328,0.17883276023453432,0.0016523092795482142
0.048864512031182215,0.0828598899972524,0.07545410916855469,0.027430127353871587,0.21950442317747962,0.0023877405360455514
0.059732567455931765,0.07768436168113747,0.05975393652043305,0.023308762487851516,0.24489143950433256,0.0035679796148774387
0.04505116091887413,0.05888159815394264,0.03755520248400862,0.017044651877026838,0.1707210399507743,0.002029607100138292
0.04493502292134418,0.08206818248394446,0.07522806633797355,0.024815568604213696,0.15936246669530083,0.0020191562849417267
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
7.343849275153284e-08,0.002682129039697382,0.0026821502669242487,0.0026819904847642053,0.002682230180773629,5.3932122176169415e-15
0.014757752344791084,0.022343385296972818,0.02115352767157095,0.0052880256956720825,0.05552945660156383,0.00021779125427018672
0.03770443185887168,0.055839955070811756,0.04356238574873881,0.010560932243943924,0.13729708577641273,0.0014216241818002975
0.044469592368428415,0.07538121935012455,0.06670554230563389,0.02935590182991441,0.19480851154295462,0.0019775446454141864
0.053658441215750856,0.08830421183195195,0.07814535926641249,0.02467990424572437,0.23039605720422027,0.0028792283137041904
0.04660019505851087,0.09100563185272231,0.0902458795238083,0.023306620261213336,0.21556485119419924,0.0021715781794912604
0.04100001052171215,0.07624889879754683,0.07997918253351469,0.006811720677750176,0.1430898676810635,0.001681000862780507
0.042207060919611634,0.08154242396120176,0.07759510290725942,0.0164025803184829,0.18590430118365123,0.0017814359914718077
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.001264459627870811,0.003576168721716865,0.0026821196335481447,0.002682001856370306,0.005364384675232144,1.59885815051519e-06
0.01823227055081655,0.02247377063690137,0.015863958033888,0.0026439855862843142,0.07932159149359701,0.0003324156894381724
0.05230825234228901,0.05675454916754189,0.044872545700638006,0.00791939616389161,0.23230844805712864,0.002736153263104584
0.07394769057319356,0.09830171675313962,0.07603447997213397,0.018670466486365816,0.29345659033024785,0.00546826094110878
0.08040592008357018,0.11539783981186176,0.09319037140718472,0.021923096177088333,0.3152503236272448,0.006465111984485475
0.06612481620466214,0.11215646230526599,0.09166474199986419,0.017448333072020865,0.26188487394957816,0.004372491318100349
0.06159520088699663,0.10185235825248293,0.08485680055022962,0.027129312597684533,0.26153151726097446,0.0037939687723094707
0.06916097652319288,0.11708627400872626,0.0952794049206121,0.031533679400474544,0.2797746123924345,0.004783240673641636
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
8.365583828124379e-08,0.002682220588209408,0.0026822054680616337,0.002682101388378353,0.0026823642635433295,6.998299278537613e-15
0.018655736229176417,0.034634390747013064,0.033046455988822776,0.007931587845294104,0.08989370482922585,0.00034803649425260545
0.04342829916848064,0.08604439346334801,0.06994460310777353,0.018476305298294533,0.19796703907841065,0.0018860171686670567
0.06372869813472037,0.13041514590050096,0.11601537380219484,0.02133666206147145,0.2773889506986465,0.004061346965946312
0.08016258431643061,0.1424718291601159,0.10274619307708227,0.04110024060199475,0.32608314604082345,0.006426039924288848
0.08247463963739692,0.15681557181456363,0.13514477526995541,0.0319777891861636,0.3372583969157652,0.006802066183318483
0.06889724730440057,0.13274761444085498,0.13727387167567054,0.006775425464782564,0.2778626292738622,0.004746830686123731
0.08542151578800884,0.16232741075033655,0.14038435041559705,0.015612286044863047,0.3990522285504454,0.007296835359521044
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
