date,Qg,Qdir,Qdif,alt,azi
2016-01-01_00:00:00,0.0,0.0,0.0,-60.77205541598858,8.332007553375888
2016-01-01_01:00:00,0.0,0.0,0.0,-57.377414834555175,34.536950922367794
2016-01-01_02:00:00,0.0,0.0,0.0,-50.85190241532503,55.40754481234876
2016-01-01_03:00:00,0.0,0.0,0.0,-42.61448524642601,71.626626980668
2016-01-01_04:00:00,0.0,0.0,0.0,-33.61398240478773,84.9481674085144
2016-01-01_05:00:00,0.0,0.0,0.0,-24.42869879124392,96.72886774227266
2016-01-01_06:00:00,0.0,0.0,0.0,-15.461750709763768,107.87389694297553
2016-01-01_07:00:00,0.0,0.0,0.0,-7.038075194333801,119.00506003931406
2016-01-01_08:00:00,7.11910681965802e-17,5.944454194414447e-17,1.1746526252435734e-17,0.9806157535627755,130.56878418146357
2016-01-01_09:00:00,32.95794595434075,27.519884871874527,5.438061082466224,7.027242304497963,142.86527365298082
2016-01-01_10:00:00,101.32677233158488,84.60785489687336,16.718917434711507,11.66924328809908,156.01483334212435
2016-01-01_11:00:00,78.57346363152443,65.6088421323229,12.964621499201533,14.359603717752213,169.8977853000447
2016-01-01_12:00:00,130.4008468430292,108.88470711392938,21.51613972909982,14.840090052989005,-175.85724813600638
2016-01-01_13:00:00,184.65128278097615,154.1838211221151,30.467461658861065,13.062955554530753,-161.76330078696483
2016-01-01_14:00:00,18.524764656276524,15.468178487990897,3.0565861682856266,9.201926153315604,-148.27258396614437
2016-01-01_15:00:00,13.510470507716144,11.28124287394298,2.229227633773164,3.635340919947336,-135.61551391721085
2016-01-01_16:00:00,0.0,0.0,0.0,-3.3684465715552223,-123.7662568525929
2016-01-01_17:00:00,0.0,0.0,0.0,-11.82113645869037,-112.49337075156734
2016-01-01_18:00:00,0.0,0.0,0.0,-20.58873159063533,-101.41111072805438
2016-01-01_19:00:00,0.0,0.0,0.0,-29.721896610852752,-89.97940149982821
2016-01-01_20:00:00,0.0,0.0,0.0,-38.850865773731435,-77.43052353273583
2016-01-01_21:00:00,0.0,0.0,0.0,-47.489420367029936,-62.61830301712797
2016-01-01_22:00:00,0.0,0.0,0.0,-54.870240821626105,-43.90664432074391
2016-01-01_23:00:00,0.0,0.0,0.0,-59.754913709572904,-19.83344221572554
2016-01-02_00:00:00,0.0,0.0,0.0,-60.70260119066537,8.094786560987416
2016-01-02_01:00:00,0.0,0.0,0.0,-57.34387386568777,34.29387896089719
2016-01-02_02:00:00,0.0,0.0,0.0,-50.84397432704674,55.193335776870185
2016-01-02_03:00:00,0.0,0.0,0.0,-42.62044867627587,71.44249016683563
2016-01-02_04:00:00,0.0,0.0,0.0,-33.62530683542503,84.78566730320551
2016-01-02_05:00:00,0.0,0.0,0.0,-24.439416077817423,96.58000985568106
2016-01-02_06:00:00,0.0,0.0,0.0,-15.467288426771505,107.7327926896607
2016-01-02_07:00:00,0.0,0.0,0.0,-7.034477245983473,118.86779087080788
2016-01-02_08:00:00,1.0648330100697235e-16,8.89135563408219e-17,1.756974466615044e-17,0.9951135523353096,130.43329066802232
2016-01-02_09:00:00,71.70188967498072,59.8710778786089,11.830811796371819,7.059064882437233,142.73154795048873
2016-01-02_10:00:00,138.88125797219863,115.96585040678585,22.915407565412774,11.71973356624529,155.88518062456728
2016-01-02_11:00:00,29.032031725700726,24.241746490960107,4.79028523474062,14.429707536712097,169.77655541022807
2016-01-02_12:00:00,62.766803722738494,52.41028110848664,10.356522614251851,14.928852460206585,-175.96501966301557
2016-01-02_13:00:00,120.04448025809081,100.23714101550583,19.807339242584984,13.167509559051409,-161.8539514228163
2016-01-02_14:00:00,14.609983653308596,12.199336350512677,2.4106473027959185,9.318107483684372,-148.3451747057887
2016-01-02_15:00:00,4.834443845175398,4.0367606107214575,0.7976832344539407,3.756426670126142,-135.67164634182194
2016-01-02_16:00:00,0.0,0.0,0.0,-3.195845326084595,-123.80900505872935
2016-01-02_17:00:00,0.0,0.0,0.0,-11.687634001514313,-112.52637804945408
2016-01-02_18:00:00,0.0,0.0,0.0,-20.453338511690003,-101.43835058824487
2016-01-02_19:00:00,0.0,0.0,0.0,-29.585740540876074,-90.0057243827556
2016-01-02_20:00:00,0.0,0.0,0.0,-38.71496123840558,-77.46326151620872
2016-01-02_21:00:00,0.0,0.0,0.0,-47.35555517812688,-62.670630624495914
2016-01-02_22:00:00,0.0,0.0,0.0,-54.743049169960514,-44.002380872489425
2016-01-02_23:00:00,0.0,0.0,0.0,-59.64520285172417,-20.002010638093566
