Date_90_90_0,Itot_90_90_0,Ib_90_90_0,Iid_90_90_0,Icd_90_90_0,Ihd_90_90_0,Igr_90_90_0,theta_90_90_0,Date_45_-90_1,Itot_45_-90_1,Ib_45_-90_1,Iid_45_-90_1,Icd_45_-90_1,Ihd_45_-90_1,Igr_45_-90_1,theta_45_-90_1
2016/07/17 12:00:00,32.808297319085284,0,17.844310273284307,0.0,14.963987045800977,0.0,94.99436346713142,2016/07/17 12:00:00,54.10712226035406,0,30.462143073120416,0.0,10.581136713673523,13.063842473560124,94.99436346713142
2016/07/17 13:00:00,56.290158441125115,0,38.35677593870896,0.0,17.933382502416162,0.0,108.93529576692973,2016/07/17 13:00:00,103.97347008485679,0,65.47911230942306,0.0,12.680816377070643,25.813541398363085,108.93529576692973
2016/07/17 14:00:00,62.90809083185509,0,44.30891318152516,0.0,18.59917765032993,0.0,122.67353470688643,2016/07/17 14:00:00,116.6183615181943,0,75.6400461591876,0.0,13.15160464104157,27.82671071796513,122.67353470688643
2016/07/17 15:00:00,1.434136178904515e-14,0,6.009939650449175e-15,0.0,8.331422138595978e-15,0.0,135.92536153172725,2016/07/17 15:00:00,2.011569186767287e-14,0,1.0259608731803695e-14,0.0,5.8912050911289434e-15,3.9648780447402315e-15,135.92536153172725
2016/07/17 16:00:00,2.3659321312321934e-14,0,9.742874914798017e-15,0.0,1.3916446397523915e-14,0.0,148.00295984707816,2016/07/17 16:00:00,3.24648935452225e-14,0,1.6632127835304002e-14,0.0,9.84041361770826e-15,5.992352092210235e-15,148.00295984707816
2016/07/17 17:00:00,8.013009026847085e-15,0,2.4275743047073615e-15,0.0,5.585434722139723e-15,0.0,156.91691350995663,2016/07/17 17:00:00,1.0461594108437751e-14,0,4.144128557400155e-15,0.0,3.949498767899798e-15,2.367966783137799e-15,156.91691350995663
2016/07/17 18:00:00,1.0262288722147743e-14,0,3.756261480599057e-15,0.0,6.506027241548686e-15,0.0,158.2981731467594,2016/07/17 18:00:00,1.4195204078671897e-14,0,6.4123394454404704e-15,0.0,4.600455981083484e-15,3.182408652147943e-15,158.2981731467594
2016/07/17 19:00:00,9.72383483425634e-16,0,5.770342290374683e-16,0.0,3.953492543881658e-16,0.0,151.0468755226202,2016/07/17 19:00:00,1.5731139699778268e-15,0,9.850590453666135e-16,0.0,2.7955413871491745e-16,3.08500785896296e-16,151.0468755226202
2016/07/17 20:00:00,0.0,-0.0,0.0,0.0,-0.0,0.0,139.61921926464032,2016/07/17 20:00:00,0.0,-0.0,0.0,0.0,-0.0,0.0,139.61921926464032
2016/07/17 21:00:00,0.0,-0.0,0.0,0.0,-0.0,0.0,126.55574125175548,2016/07/17 21:00:00,0.0,-0.0,0.0,0.0,-0.0,0.0,126.5557412517555
2016/07/17 22:00:00,0.0,-0.0,0.0,0.0,-0.0,0.0,112.9129156335342,2016/07/17 22:00:00,0.0,-0.0,0.0,0.0,-0.0,0.0,112.91291563353421
