mu,sigma,median,min,max,variance
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.0,0.0,0.0,0,0,0.0
0.1006139891183398,0.14034652971739947,0.11949503574473067,0.014026121412543058,0.5282492652166719,0.010123174806305398
0.10120850920822344,0.15275074936141464,0.12568912692294254,0.026881919336667906,0.5111218224182386,0.010243162336151048
0.10224468571988009,0.1468081603082955,0.11450939504999015,0.0236732752391398,0.49338091937808687,0.01045397575795705
0.09398887438442444,0.14758196974077414,0.12391860314474103,0.01937531097626963,0.41482453377968087,0.008833908508051115
0.07728620558150887,0.11916280916728987,0.10402123540795485,0.012496279590173045,0.31676023976200374,0.005973157573187252
0.05212202122467054,0.0778770550694836,0.06994915332208229,0.0053710080112484015,0.26840486147038384,0.002716705096545006
0.048158957643431186,0.06033226774869786,0.04090538914562619,0.019282204157575672,0.25972536084637554,0.002319285201301799
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.0,0.0,0.0,0,0,0.0
0.09474191289850534,0.13439046271016789,0.11161912115527879,0.020941854798785502,0.34311957469316307,0.008976030059667971
0.0980525583038347,0.13216667691070516,0.09373433392266711,0.017871745765312006,0.3700267083288011,0.009614304189926903
0.09922367014985664,0.13441043678170686,0.11002526598027913,0.015736396789058048,0.3888230135720573,0.009845336718007552
0.09685701713072213,0.13411522191223543,0.1003115855124323,0.01544540981750049,0.3430907634178886,0.009381281767461001
0.07373900170694384,0.10922107238546933,0.09133379436845425,0.016553991155453595,0.265223330063357,0.005437440372736665
0.06603936853026421,0.08807193335113173,0.07997843312104026,0.005287550461860236,0.28729268126337987,0.00436119819587605
0.04120180739138808,0.05202151869754858,0.03727924281313569,0.018044880175857765,0.2515406185526122,0.0016975889323170418
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.0,0.0,0.0,0,0,0.0
0.10350481474255213,0.14320594163478148,0.11845686256116571,0.006928998151642904,0.429666816542364,0.010713246674890037
0.10836946764808249,0.1503922901971004,0.11982936358856014,0.013333619934790266,0.4621902882739402,0.011743941518328797
0.10370644064224334,0.14732062305489893,0.11765078919520366,0.011760747885521977,0.4504698324084494,0.010755025830683142
0.09956333899868498,0.13780493450480014,0.10003032650221938,0.015417525088530218,0.40743196082129013,0.009912858472567067
0.08528018107384436,0.1183228207610575,0.09498488671638505,0.008231963485916803,0.31281581791537255,0.007272709283987681
0.060170820911882306,0.08138645236653419,0.0681510289636672,0.005234444968485125,0.24075163248350853,0.0036205276892098126
0.0532701657107024,0.06606037630350317,0.052426928771250145,0.01670116169354119,0.26078069494435346,0.002837710554845694
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.0,0.0,0.0,0,0,0.0
0.10574701462616702,0.14106869127120264,0.09659882338457924,0.01376839981956632,0.4545013393536113,0.011182431102346782
0.10130480750745077,0.14629284352565716,0.12403230450029619,0.022165694195471843,0.49602411616233244,0.010262664024121656
0.10632098558899561,0.15271053885290056,0.14046083912516255,0.023412546804994668,0.48418925922248307,0.011304151976615412
0.10700994395735336,0.15052730132002975,0.13425311207820204,0.015307211507575759,0.40592377655709233,0.011451128105755907
0.09393922982278227,0.1226350079132759,0.09816403990807666,0.012261824485211258,0.3110661278561289,0.008824578899697505
0.06499317369147614,0.07641308003257806,0.05697915443696948,0.010315143084094248,0.24898710820203862,0.004224112626490386
0.0438129481246682,0.05455026007357853,0.04040419174095678,0.015608043767172715,0.19478746792921364,0.0019195744233748663
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.0,0.0,0.0,0,0,0.0
0.09983193855709518,0.13949284580026872,0.10915139053631415,0.020475686398241218,0.4099539243570611,0.009966415956067629
0.10505314358203142,0.13628805815354234,0.11001425893041637,0.00880269335154682,0.41477209779568813,0.01103616297646691
0.10674845884106333,0.13909678857970312,0.10879484688478415,0.011656970434632282,0.40100451083493094,0.011395233464942194
0.10392083402454308,0.13336947965733192,0.10679396389927952,0.011428711119735934,0.36284433055280463,0.01079953974435663
0.08609071342702676,0.11055309536077866,0.08939160540156367,0.008139127447024557,0.2927985002228629,0.007411610938374447
0.05985395807867909,0.07424016854497202,0.058881351335262865,0.005147135621936398,0.20922448269606148,0.0035824962976842736
0.03228692891744531,0.04637635572918517,0.030952084803076683,0.014697451827184217,0.11974692158223778,0.0010424457789201661
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.0,0.0,0.0,0,0,0.0
0.10103116464703267,0.14512997841913156,0.11464379402281116,0.020321043176038518,0.4235869917759542,0.010207296229935823
0.11358120962454236,0.15631913081787555,0.12298144246903195,0.01755196720606788,0.4617940199214232,0.012900691179774234
0.1050740193887716,0.16179756760271055,0.12040536046379133,0.015501206701624578,0.407468137674134,0.01104054955051195
0.10142956523044325,0.1636553438022554,0.1636729850333141,0.019026115814425,0.38038733249872575,0.010287956702836743
0.08628730647748924,0.1266420935762765,0.10561739234738961,0.012125731669572539,0.29622513683152707,0.007445499259140157
0.060881771019599504,0.07956314556861152,0.05074804697864181,0.0050795168898152545,0.24816746292714897,0.003706590042482946
0.047761297739157396,0.056295220068239754,0.04373087495130461,0.013912831962225364,0.25617380132526907,0.0022811415617284415
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.4284012621704783,0.10386336769669964,0.0,0.0,1.9384032414474468,0.18352764142925887
0.09735637333434013,0.13353319722951545,0.1001040970340695,0.026740364347176478,0.38055141228280465,0.009478263428815414
0.097971948993028,0.1397074798977673,0.11392288279587388,0.01753036682815457,0.4100445820016256,0.00959850278949248
0.09640866999415738,0.15170882908326397,0.13114117392271218,0.027036635356980306,0.3741781960104428,0.009294631650042342
0.09801733853628937,0.1502715162916796,0.12478675248468606,0.022709649749409123,0.3520400558418733,0.009607398653737557
0.07990316116573438,0.12172497922004107,0.09637548579198454,0.01610402434850689,0.30608631763017224,0.006384515164277323
